#id sdkAdded compatAdded codepoints
23 20 1 23
2A 23 1 2A
30 20 1 30
31 20 1 31
32 20 1 32
33 20 1 33
34 20 1 34
35 20 1 35
36 20 1 36
37 20 1 37
38 20 1 38
39 20 1 39
A9 19 1 A9
AE 19 1 AE
203C 20 1 203C
2049 20 1 2049
2122 19 1 2122
2139 20 1 2139
2194 20 1 2194
2195 20 1 2195
2196 20 1 2196
2197 20 1 2197
2198 20 1 2198
2199 20 1 2199
21A9 20 1 21A9
21AA 20 1 21AA
231A 19 1 231A
231B 19 1 231B
2328 23 1 2328
23CF 23 1 23CF
23E9 19 1 23E9
23EA 19 1 23EA
23EB 19 1 23EB
23EC 19 1 23EC
23ED 23 1 23ED
23EE 23 1 23EE
23EF 23 1 23EF
23F0 19 1 23F0
23F1 23 1 23F1
23F2 23 1 23F2
23F3 19 1 23F3
23F8 23 1 23F8
23F9 23 1 23F9
23FA 23 1 23FA
24C2 20 1 24C2
25AA 20 1 25AA
25AB 20 1 25AB
25B6 20 1 25B6
25C0 20 1 25C0
25FB 20 1 25FB
25FC 20 1 25FC
25FD 20 1 25FD
25FE 20 1 25FE
2600 20 1 2600
2601 19 1 2601
2602 23 1 2602
2603 23 1 2603
2604 23 1 2604
260E 20 1 260E
2611 19 1 2611
2614 19 1 2614
2615 19 1 2615
2618 23 1 2618
261D 19 1 261D
2620 23 1 2620
2622 23 1 2622
2623 23 1 2623
2626 23 1 2626
262A 23 1 262A
262E 23 1 262E
262F 23 1 262F
2638 23 1 2638
2639 23 1 2639
263A 19 1 263A
2640 25 1 2640
2642 25 1 2642
2648 19 1 2648
2649 19 1 2649
264A 19 1 264A
264B 19 1 264B
264C 19 1 264C
264D 19 1 264D
264E 19 1 264E
264F 19 1 264F
2650 19 1 2650
2651 19 1 2651
2652 19 1 2652
2653 19 1 2653
265F 28 3 265F
2660 20 1 2660
2663 20 1 2663
2665 20 1 2665
2666 20 1 2666
2668 20 1 2668
267B 19 1 267B
267E 28 3 267E
267F 19 1 267F
2692 23 1 2692
2693 19 1 2693
2694 23 1 2694
2695 25 1 2695
2696 23 1 2696
2697 23 1 2697
2699 23 1 2699
269B 23 1 269B
269C 23 1 269C
26A0 19 1 26A0
26A1 19 1 26A1
26A7 30 6 26A7
26AA 20 1 26AA
26AB 20 1 26AB
26B0 23 1 26B0
26B1 23 1 26B1
26BD 19 1 26BD
26BE 19 1 26BE
26C4 19 1 26C4
26C5 19 1 26C5
26C8 23 1 26C8
26CE 19 1 26CE
26CF 23 1 26CF
26D1 23 1 26D1
26D3 23 1 26D3
26D4 19 1 26D4
26E9 23 1 26E9
26EA 19 1 26EA
26F0 23 1 26F0
26F1 23 1 26F1
26F2 19 1 26F2
26F3 19 1 26F3
26F4 23 1 26F4
26F5 19 1 26F5
26F7 23 1 26F7
26F8 23 1 26F8
26F9 23 1 26F9
26FA 19 1 26FA
26FD 19 1 26FD
2702 20 1 2702
2705 19 1 2705
2708 20 1 2708
2709 20 1 2709
270A 19 1 270A
270B 19 1 270B
270C 19 1 270C
270D 23 1 270D
270F 20 1 270F
2712 20 1 2712
2714 20 1 2714
2716 20 1 2716
271D 23 1 271D
2721 23 1 2721
2728 19 1 2728
2733 20 1 2733
2734 20 1 2734
2744 20 1 2744
2747 20 1 2747
274C 19 1 274C
274E 19 1 274E
2753 19 1 2753
2754 19 1 2754
2755 19 1 2755
2757 20 1 2757
2763 23 1 2763
2764 20 1 2764
2795 19 1 2795
2796 19 1 2796
2797 19 1 2797
27A1 20 1 27A1
27B0 19 1 27B0
27BF 19 1 27BF
2934 20 1 2934
2935 20 1 2935
2B05 20 1 2B05
2B06 20 1 2B06
2B07 20 1 2B07
2B1B 20 1 2B1B
2B1C 20 1 2B1C
2B50 20 1 2B50
2B55 20 1 2B55
3030 19 1 3030
303D 19 1 303D
3297 20 1 3297
3299 20 1 3299
1F004 19 1 1F004
1F0CF 19 1 1F0CF
1F170 19 1 1F170
1F171 19 1 1F171
1F17E 19 1 1F17E
1F17F 19 1 1F17F
1F18E 19 1 1F18E
1F191 19 1 1F191
1F192 19 1 1F192
1F193 19 1 1F193
1F194 19 1 1F194
1F195 19 1 1F195
1F196 19 1 1F196
1F197 19 1 1F197
1F198 19 1 1F198
1F199 19 1 1F199
1F19A 19 1 1F19A
1F1E6 19 1 1F1E6
1F1E7 19 1 1F1E7
1F1E8 19 1 1F1E8
1F1E9 19 1 1F1E9
1F1EA 19 1 1F1EA
1F1EB 19 1 1F1EB
1F1EC 19 1 1F1EC
1F1ED 19 1 1F1ED
1F1EE 19 1 1F1EE
1F1EF 19 1 1F1EF
1F1F0 19 1 1F1F0
1F1F1 19 1 1F1F1
1F1F2 19 1 1F1F2
1F1F3 19 1 1F1F3
1F1F4 19 1 1F1F4
1F1F5 19 1 1F1F5
1F1F6 19 1 1F1F6
1F1F7 19 1 1F1F7
1F1F8 19 1 1F1F8
1F1F9 19 1 1F1F9
1F1FA 19 1 1F1FA
1F1FB 19 1 1F1FB
1F1FC 19 1 1F1FC
1F1FD 19 1 1F1FD
1F1FE 19 1 1F1FE
1F1FF 19 1 1F1FF
1F201 19 1 1F201
1F202 19 1 1F202
1F21A 19 1 1F21A
1F22F 19 1 1F22F
1F232 19 1 1F232
1F233 19 1 1F233
1F234 19 1 1F234
1F235 19 1 1F235
1F236 19 1 1F236
1F237 19 1 1F237
1F238 19 1 1F238
1F239 19 1 1F239
1F23A 19 1 1F23A
1F250 19 1 1F250
1F251 19 1 1F251
1F300 19 1 1F300
1F301 19 1 1F301
1F302 19 1 1F302
1F303 19 1 1F303
1F304 19 1 1F304
1F305 19 1 1F305
1F306 19 1 1F306
1F307 19 1 1F307
1F308 19 1 1F308
1F309 19 1 1F309
1F30A 19 1 1F30A
1F30B 19 1 1F30B
1F30C 19 1 1F30C
1F30D 19 1 1F30D
1F30E 19 1 1F30E
1F30F 19 1 1F30F
1F310 19 1 1F310
1F311 19 1 1F311
1F312 19 1 1F312
1F313 19 1 1F313
1F314 19 1 1F314
1F315 19 1 1F315
1F316 19 1 1F316
1F317 19 1 1F317
1F318 19 1 1F318
1F319 19 1 1F319
